ID,Ten_san_pham,Mo_ta_ngan,Loai_vat_lieu,Chung_nhan,He_so_phat_thai,Link_Hinh_anh,Link_PDF
29,Amano Marble,Amano Marble — vân lớn trên nền đen; lý tưởng cho mặt bàn và vật dụng nội thất.,Đá nung kết,Không áp dụng,Không áp dụng,Amano Marble.png,viglacera-cuu-long-collection-review-da-nen.pdf
30,Portoro Gold,"Portoro Gold — vân vàng trên nền đen, tạo cảm giác cao cấp cho đồ nội thất.",Đá nung kết,Không áp dụng,Không áp dụng,Portoro Gold.png,viglacera-cuu-long-collection-review-da-nen.pdf
31,Portoro Silver,"Portoro Silver — biến thể bạc, phù hợp ứng dụng trang trí và mặt bàn.",Đá nung kết,Không áp dụng,Không áp dụng,Portoro Silver.png,viglacera-cuu-long-collection-review-da-nen.pdf
32,Fusion,"Fusion — họa tiết hoa lá, thích hợp làm mặt bàn trang trí và chi tiết nội thất."", ""Loa",Đá nung kết,Không áp dụng,Không áp dụng,Fusion.png,viglacera-cuu-long-collection-review-da-nen.pdf
33,Gạch Porcelain bóng 60x120,"Gạch Porcelain bề mặt bóng cao cấp, vân đá tự nhiên tinh tế, phù hợp cho không gian hiện đại, nội thất cao cấp.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Porcelain bóng 60x120.png,viglacera-gach-slimtech-brochure-2021.pdf
34,Gạch Porcelain bóng 80x80,"Gạch Porcelain bóng mờ, tông xám trắng trung tính, phù hợp cho sàn và tường phòng khách, văn phòng.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Porcelain bóng 80x80.png,viglacera-gach-slimtech-brochure-2021.pdf
35,Gạch Porcelain Hard Matt 60x60,"Gạch Porcelain bề mặt nhám mịn (Hard Matt), chống trơn trượt, thích hợp cho khu vực ẩm ướt như phòng tắm, sân thượng.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Porcelain Hard Matt 60x60.png,viglacera-gach-slimtech-brochure-2021.pdf
36,Gạch Porcelain Hard Matt 20mm,"Gạch Porcelain dày 20mm, chịu lực tốt, sử dụng cho không gian ngoài trời hoặc lối đi sân vườn.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Porcelain Hard Matt 20mm.png,viglacera-gach-slimtech-brochure-2021.pdf
37,Gạch Porcelain giả gỗ 20x100,"Gạch Porcelain vân gỗ tự nhiên, bề mặt mờ, màu nâu và xám nhạt, mang lại cảm giác ấm cúng cho sàn nhà.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Porcelain giả gỗ 20x100.png,viglacera-gach-slimtech-brochure-2021.pdf
38,Gạch Porcelain giả gỗ 15x90,"Gạch Porcelain giả gỗ dạng thanh dài, bề mặt nhám nhẹ, phù hợp cho sàn phòng ngủ, phòng khách.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Porcelain giả gỗ 15x90.png,viglacera-gach-slimtech-brochure-2021.pdf
39,Gạch Semi Porcelain Matt 60x60,"Gạch Semi Porcelain bề mặt mờ (Matt), dễ lau chùi, bền màu, dùng cho sàn nhà hoặc khu vực công cộng.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Semi Porcelain Matt 60x60.png,viglacera-gach-slimtech-brochure-2021.pdf
40,Gạch Semi Porcelain Baby Skin 30x60,"Gạch Semi Porcelain bề mặt Baby Skin mịn màng, cảm giác chạm dễ chịu, phù hợp cho tường và sàn phòng tắm.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Semi Porcelain Baby Skin 30x60.png,viglacera-gach-slimtech-brochure-2021.pdf
41,Gạch Ceramic bóng 50x50,"Gạch Ceramic bề mặt bóng, dễ vệ sinh, thích hợp lát sàn khu vực nhà bếp, hành lang, phòng ăn.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Ceramic bóng 50x50.png,viglacera-gach-slimtech-brochure-2021.pdf
42,Gạch Ceramic mờ 30x60,"Gạch Ceramic bề mặt mờ, phù hợp cho tường phòng tắm và khu vực ẩm ướt, chống bám bẩn tốt.",Gạch ốp lát,Chứng nhận TCVN 6415:2005 – Gạch ốp lát ceramic và porcelain,Không áp dụng,Gạch Ceramic mờ 30x60.png,viglacera-gach-slimtech-brochure-2021.pdf
